protein1,protein2,weight
UBL5,PPIE,0.88
H3-3B,RCOR1,0.88
NGDN,RPS27,0.88
LSM2,SNW1,0.88
COX7A1,NDUFS2,0.88
SRC,TLR4,0.88
POLR2I,POLR1D,0.88
SNUPN,SNRPE,0.88
CCNL2,SKP2,0.88
RPS2,EFTUD2,0.88
NDUFS2,COX7A1,0.88
MFAP1,SRRT,0.88
TLR7,TNF,0.88
PPIE,UBL5,0.88
RPA2,DNA2,0.88
WDR12,BYSL,0.88
IMP4,WDR74,0.88
PSMB9,IFNG,0.88
CUL4B,CUL5,0.88
EFTUD2,RPS2,0.88
POLR1D,POLR2I,0.88
FBXO5,CCNB1,0.88
DTL,CDKN1A,0.88
DRAP1,GTF2B,0.88
RPS27,NGDN,0.88
NDUFB2,UQCRFS1,0.88
RPL4,NOC4L,0.88
RSL24D1,RPS9,0.88
PES1,RRP9,0.88
RPL11,MYC,0.88
UBL5,XAB2,0.88
RACK1,CDH1,0.88
RPL22,IMP3,0.88
SKIV2L,DXO,0.88
RCOR1,H3-3B,0.88
SRRT,MFAP1,0.88
EIF2S1,RPL3,0.88
SKP2,CCNL2,0.88
TLR4,SRC,0.88
ISY1-RAB43,SNRPD3,0.88
ERCC2,BRCA1,0.88
AQR,SF3A1,0.88
IMP3,RPL22,0.88
GRIN2A,CACNG2,0.88
COX6C,NDUFC1,0.88
RPS9,RSL24D1,0.88
CCNB1,FBXO5,0.88
TNF,TLR7,0.88
CUL1,CCNA1,0.88
BTF3,RPS13,0.88
RRP9,PES1,0.88
CDKN1A,DTL,0.88
NOC4L,RPL4,0.88
RPS13,BTF3,0.88
CD1C,CD1A,0.88
CACNG2,GRIN2A,0.88
GTF2B,DRAP1,0.88
DXO,SKIV2L,0.88
BRCA1,ERCC2,0.88
SNW1,LSM2,0.88
MYC,RPL11,0.88
CDH5,CD34,0.88
RPL8,EIF2S3,0.879
GAPDH,IL6,0.879
MRPS11,RPLP2,0.879
SNRPE,RPS24,0.879
FANCI,ERCC4,0.879
NUP43,RAE1,0.879
WDR74,RPL4,0.879
SF3A3,AQR,0.879
RNF7,UBE2M,0.879
HSP90AB1,KDR,0.879
COX7C,MT-ND1,0.879
FANCG,ERCC4,0.879
BDP1,POLR2H,0.879
UBE2M,RNF7,0.879
MT-CO1,NDUFS5,0.879
XPA,BRCA1,0.879
BRCA1,XPA,0.879
SNRPB2,MAGOH,0.879
STT3A,RPL21,0.879
POLR2H,BDP1,0.879
RPS24,SNRPE,0.879
H3C13,ERCC3,0.879
SNRNP70,POLR2K,0.879
MRTO4,DKC1,0.879
KDR,HSP90AB1,0.879
SRRM1,SNRPB2,0.879
WDR12,RPL5,0.879
HADHB,ECI1,0.879
MRPS5,RPS13,0.879
AQR,SF3A3,0.879
RPL12,NSA2,0.879
EIF3A,NCL,0.879
LIF,POU5F1,0.879
NCL,EIF3A,0.879
RPL5,WDR12,0.879
ERCC3,H3C13,0.879
NDUFS5,MT-CO1,0.879
RAE1,NUP43,0.879
SNRPB2,SRRM1,0.879
DKC1,MPHOSPH10,0.879
E2F1,BRCA1,0.879
RPL21,DDX18,0.879
CSF1R,CXCL12,0.879
POLR2K,SNRNP70,0.879
NSA2,RPL12,0.879
ERCC2,RAD51,0.879
PTPRC,FOXP3,0.879
ERCC4,FANCG,0.879
POU5F1,LIF,0.879
DKC1,MRTO4,0.879
JAK2,IL3RA,0.879
NIP7,PWP2,0.879
AKT1,PTK2,0.879
DDX18,RPL21,0.879
HSP90AA1,EEF2,0.879
MAGOH,SNRPB2,0.879
MPHOSPH10,DKC1,0.879
RPLP2,MRPS11,0.879
SNU13,RPL23,0.879
MT-ND1,COX7C,0.879
POLR1C,MRPS11,0.879
CXCL12,CSF1R,0.879
PTK2,AKT1,0.879
IL6,GAPDH,0.879
ECI1,HADHB,0.879
RPL21,STT3A,0.879
MRPS11,POLR1C,0.879
ERCC4,FANCI,0.879
PWP2,NIP7,0.879
IL3RA,JAK2,0.879
RPL23,SNU13,0.879
RAD51,ERCC2,0.879
BRCA1,E2F1,0.879
RPS13,MRPS5,0.879
EEF2,HSP90AA1,0.879
RPL4,WDR74,0.879
FOXP3,PTPRC,0.879
EIF2S3,RPL8,0.879
POLR1C,GTF2F2,0.878
HSP90AA1,CASP3,0.878
ITGAX,IL3RA,0.878
FBL,RPS2,0.878
RACK1,HSP90AB1,0.878
POLR2A,CNOT2,0.878
CASP3,HSP90AA1,0.878
CALR,APP,0.878
RPS2,FBL,0.878
XRCC3,MUS81,0.878
BRCA1,CDK1,0.878
NIFK,NOL10,0.878
COX7A1,NDUFB5,0.878
POLR3G,BDP1,0.878
RNF2,H3C12,0.878
CDK4,SKP2,0.878
RSL1D1,RPL18A,0.878
BDP1,POLR3G,0.878
NDUFB5,COX7A1,0.878
MTREX,RRP9,0.878
RRP9,MRTO4,0.878
LSM4,UBL5,0.878
APP,CALR,0.878
MRTO4,RRP9,0.878
SNRNP200,SRRM1,0.878
MUS81,XRCC3,0.878
AKT1,RPS6,0.878
BRCA1,RELA,0.878
RELA,BRCA1,0.878
BMS1,RPL4,0.878
GTF2F2,POLR1C,0.878
IFNL1,IL10RA,0.878
GIT1,PTK2,0.878
PTK2,GIT1,0.878
CYC1,NDUFV3,0.878
HCFC1,KDM1A,0.878
NRG1,DLG4,0.878
PDHA1,NDUFV1,0.878
CNOT2,POLR2A,0.878
RRP9,MTREX,0.878
NOL10,NIFK,0.878
SRRM1,SNRNP200,0.878
RPL18A,RSL1D1,0.878
NDUFV1,PDHA1,0.878
H3C12,RNF2,0.878
PATL1,CNOT2,0.878
SKP2,CDK4,0.878
IL10RA,IFNL1,0.878
IL3RA,ITGAX,0.878
RPL4,BMS1,0.878
NUP188,RAE1,0.878
UBL5,LSM4,0.878
DPYD,CYB5R3,0.878
HSP90AB1,RACK1,0.878
RPS6,AKT1,0.878
CDK1,BRCA1,0.878
SNU13,RPS15,0.878
NDUFV3,CYC1,0.878
RAE1,NUP188,0.878
CYB5R3,DPYD,0.878
DLG4,NRG1,0.878
KDM1A,HCFC1,0.878
CNOT2,PATL1,0.878
RPS15,SNU13,0.878
STAT1,MYD88,0.877
CDC5L,LSM2,0.877
SNRPC,PRPF8,0.877
RPF2,WDR46,0.877
HDAC2,H3-2,0.877
MALT1,UBE2N,0.877
H3-5,HDAC2,0.877
NOTCH1,EGFR,0.877
RPS15A,MRPS11,0.877
UBE2N,MALT1,0.877
TRAF6,SMAD2,0.877
PES1,HEATR1,0.877
RPL11,MRPS35,0.877
POLR2C,MRPS15,0.877
BRCA2,CCNA2,0.877
ERCC1,BRCA2,0.877
RPL10,HEATR1,0.877
CCNA2,BRCA2,0.877
RSL24D1,RPL12,0.877
RPL12,RSL24D1,0.877
PRPF8,SNRPC,0.877
SNU13,RPL37A,0.877
NDUFB7,MT-CO1,0.877
NOL10,GTPBP4,0.877
FLT1,KITLG,0.877
MYD88,SRC,0.877
RSL1D1,RPS28,0.877
BRCA2,ERCC1,0.877
H3-2,HDAC2,0.877
HDAC2,H3-5,0.877
NIP7,RPL9,0.877
HEATR1,RPL10,0.877
MRPS35,RPL11,0.877
MVD,HMGCS2,0.877
EPHA2,PTPN11,0.877
PTPN11,EPHA2,0.877
LSM2,CDC5L,0.877
XRN1,UPF2,0.877
CNOT4,PATL1,0.877
MT-CO1,NDUFB7,0.877
MRPS11,RPS15A,0.877
RPL9,NIP7,0.877
EGFR,NOTCH1,0.877
EIF2S1,RPL10,0.877
IFNB1,EGFR,0.877
CETN2,ERCC2,0.877
EFTUD2,RPS16,0.877
INTS2,POLR2B,0.877
PATL1,CNOT4,0.877
GTPBP4,NOL10,0.877
RPL10,EIF2S1,0.877
MRPS15,POLR2C,0.877
RPS28,RSL1D1,0.877
RPS16,EFTUD2,0.877
NIFK,NOP56,0.877
EGFR,IFNB1,0.877
HMGCS2,MVD,0.877
SMAD2,TRAF6,0.877
UPF2,XRN1,0.877
SRC,MYD88,0.877
HEATR1,PES1,0.877
RPL37A,SNU13,0.877
KITLG,FLT1,0.877
WDR46,RPF2,0.877
ERCC2,CETN2,0.877
POLR2B,INTS2,0.877
MYD88,STAT1,0.877
NOP56,NIFK,0.877
RPL6,MRPS14,0.876
POLR2K,INTS5,0.876
RBM8A,SNRPD3,0.876
TRAF3,IL17RA,0.876
MAP3K3,PDCD10,0.876
CDH5,PTK2,0.876
DXO,DCP2,0.876
PRPF6,SRRT,0.876
LSM2,EDC3,0.876
EZH2,RBBP5,0.876
RB1,CDKN1A,0.876
EEF2,MRPS5,0.876
POLR3D,BRF2,0.876
IL1R1,CASP1,0.876
HIF1A,CCND1,0.876
DCP2,DXO,0.876
RPS24,NACA,0.876
MRPS35,RPS20,0.876
RBBP5,EZH2,0.876
RPS20,MRPS35,0.876
SF3B5,DDX23,0.876
PRPF3,UBL5,0.876
CCND1,HIF1A,0.876
BACE1,CDK5,0.876
BRF2,POLR3D,0.876
MRPS14,RPL6,0.876
RPL27A,NIP7,0.876
POLR2B,MRPS14,0.876
BCL2,GAPDH,0.876
NDUFB1,PALB2,0.876
PTK2,CDH5,0.876
SUZ12,KDM1A,0.876
CDKN1A,RB1,0.876
AQR,ZMAT2,0.876
UBL5,PRPF3,0.876
NIP7,RPL27A,0.876
DDX23,SF3B5,0.876
ZMAT2,AQR,0.876
CASP1,IL1R1,0.876
SRRT,PRPF6,0.876
TNF,ITGAX,0.876
ACTB,ACTR5,0.876
RPL13A,BOP1,0.876
IFNA2,IFNL3,0.876
IFNG,EGFR,0.876
UTP6,GTPBP4,0.876
BOP1,RPL13A,0.876
ACTR5,ACTB,0.876
LSM10,EFTUD2,0.876
GTPBP4,UTP6,0.876
MRPS14,POLR2B,0.876
IFNL3,IFNA2,0.876
NACA,RPS24,0.876
MRPS5,EEF2,0.876
PALB2,NDUFB1,0.876
EFTUD2,LSM10,0.876
RSL1D1,RPL36,0.876
PDCD10,MAP3K3,0.876
RPL36,RSL1D1,0.876
ITGAX,TNF,0.876
INTS5,POLR2K,0.876
EDC3,LSM2,0.876
IL17RA,TRAF3,0.876
EGFR,IFNG,0.876
KDM1A,SUZ12,0.876
GAPDH,BCL2,0.876
CDK5,BACE1,0.876
SNRPD3,RBM8A,0.876
RPL26,EFTUD2,0.875
OTUB1,RNF168,0.875
POLR2C,RPLP0,0.875
RIPK1,UBE2N,0.875
NCBP2,PRPF38A,0.875
AQR,UBL5,0.875
RSL1D1,RPL27A,0.875
H3-4,RAD51,0.875
DDX18,RPL27,0.875
RAD51,H3-4,0.875
TFDP1,CCNL2,0.875
EMG1,RPS2,0.875
ERCC3,DDB1,0.875
SYMPK,NUDT21,0.875
CCNL2,TFDP1,0.875
STAT1,TNF,0.875
RPLP0,POLR2C,0.875
MTREX,CNOT2,0.875
RPL27A,RSL1D1,0.875
HSPA8,TUBB2A,0.875
RSL1D1,RPS18,0.875
KAT2A,RUVBL2,0.875
EGFR,MYC,0.875
PSMC4,RAD23B,0.875
POLR3D,TBP,0.875
RPS2,EMG1,0.875
TBP,POLR3D,0.875
ITGAX,FOXP3,0.875
RUVBL2,KAT2A,0.875
SUPT4H1,RPL7A,0.875
DDB1,ERCC3,0.875
RPS18,RSL1D1,0.875
RAD23B,PSMC4,0.875
RPS23,DAP3,0.875
MDM2,RPS27,0.875
NUDT21,SYMPK,0.875
TUBB2A,HSPA8,0.875
RPS27,MDM2,0.875
RPL27,DDX18,0.875
USP14,SEM1,0.875
RNF168,OTUB1,0.875
CCND1,SRC,0.875
TBP,TAF5L,0.875
SEM1,USP14,0.875
ZMAT2,PPIE,0.875
FLT1,FGF6,0.875
UBE2N,RIPK1,0.875
DAP3,RPS23,0.875
UBL5,AQR,0.875
TNF,STAT1,0.875
PRPF38A,NCBP2,0.875
PPIE,ZMAT2,0.875
FGF6,FLT1,0.875
SRC,CCND1,0.875
MYC,EGFR,0.875
TAF5L,TBP,0.875
CNOT2,MTREX,0.875
EFTUD2,RPL26,0.875
FOXP3,ITGAX,0.875
RPL7A,SUPT4H1,0.875
KIT,STAT1,0.874
FOXO3,MYC,0.874
IL1B,AIM2,0.874
GAPDH,RPLP0,0.874
VEGFB,FGFR1,0.874
UQCRC2,NDUFC1,0.874
CD1C,IL3RA,0.874
MT-CO1,NDUFS6,0.874
SRP54,RPS7,0.874
UBA52,RAD23B,0.874
HLA-F,KIR2DL1,0.874
RBBP7,NPM1,0.874
CX3CR1,CXCL11,0.874
RPF2,DCAF13,0.874
SKP1,DDB1,0.874
RPS15A,MRPS9,0.874
IFNB1,TLR9,0.874
RPS7,SRP54,0.874
IRF9,IFNA2,0.874
CWC15,NCBP2,0.874
RAE1,NUP62,0.874
NDUFA12,MT-CO1,0.874
MT-CO1,NDUFA12,0.874
ITGB3,VCL,0.874
BCKDHA,GPI,0.874
RPL13,RSL1D1,0.874
IL3RA,CD1C,0.874
SNRPA1,SRRM1,0.874
FBL,PES1,0.874
NDUFB5,COX7A2,0.874
VAV1,EGFR,0.874
VCL,ITGB3,0.874
TNFRSF1B,LTB,0.874
SOX2,EPAS1,0.874
NIP7,RPL35A,0.874
POLR2F,RPL23A,0.874
EGFR,VAV1,0.874
MRPS9,RPS15A,0.874
COX7A1,NDUFA10,0.874
PALB2,NDUFA9,0.874
FGFR1,VEGFB,0.874
LSM3,NCBP2,0.874
MYC,FOXO3,0.874
COX7A1,NDUFC1,0.874
NDUFC1,COX7A1,0.874
DCAF13,RPF2,0.874
RPLP0,GAPDH,0.874
NDUFS6,MT-CO1,0.874
MFAP1,PLRG1,0.874
EPAS1,SOX2,0.874
NCBP2,CWC15,0.874
KIR2DL1,HLA-F,0.874
LTB,TNFRSF1B,0.874
MALT1,REL,0.874
RPL23A,POLR2F,0.874
SRRM1,SNRPA1,0.874
RPF2,FCF1,0.874
NDUFA10,COX7A1,0.874
REL,MALT1,0.874
NPM1,RBBP7,0.874
NCBP2,LSM3,0.874
PES1,FBL,0.874
AIM2,IL1B,0.874
IFNA2,IRF9,0.874
RSL1D1,RPL13,0.874
DDB1,SKP1,0.874
NDUFC1,UQCRC2,0.874
COX7A2,NDUFB5,0.874
TLR9,IFNB1,0.874
RPL7A,EIF2S3,0.874
FCF1,RPF2,0.874
CXCL11,CX3CR1,0.874
EIF2S3,RPL7A,0.874
NUP62,RAE1,0.874
RAD23B,UBA52,0.874
PLRG1,MFAP1,0.874
STAT1,KIT,0.874
RPL35A,NIP7,0.874
GPI,BCKDHA,0.874
NDUFA9,PALB2,0.874
NOP56,RPS17,0.873
FN1,CDH1,0.873
NPRL3,ITFG2,0.873
MDM2,HSPA4,0.873
HSPA4,MDM2,0.873
CPSF3,SNRPD3,0.873
NDUFA2,MT-CO1,0.873
SNRPD3,CPSF3,0.873
RPS17,NOP56,0.873
BOP1,MTREX,0.873
RBM8A,SNRPE,0.873
RPS23,BTF3,0.873
NDUFA1,MT-CO1,0.873
IL17A,CCRL2,0.873
RCOR1,H3-5,0.873
ERBB2,BRCA2,0.873
CDH1,FN1,0.873
CPSF6,FIP1L1,0.873
MT-CO1,NDUFA1,0.873
EFTUD2,RPS20,0.873
H3-2,RCOR1,0.873
PARP1,CASP8,0.873
EFTUD2,MRPS5,0.873
SIRT1,AKT1,0.873
BRCA2,ERBB2,0.873
NDUFA1,CYC1,0.873
SEM1,UCHL5,0.873
RPL13A,NSA2,0.873
ITFG2,NPRL3,0.873
MT-CO1,NDUFA2,0.873
EFTUD2,RPL21,0.873
RCOR1,H3-2,0.873
SF3A1,BCAS2,0.873
RPS20,EFTUD2,0.873
AKT1,SIRT1,0.873
SNRPE,RBM8A,0.873
RPS20,EIF3CL,0.873
FIP1L1,CPSF6,0.873
EGFR,IL1B,0.873
H3-5,RCOR1,0.873
MRPS5,EFTUD2,0.873
BTF3,RPS23,0.873
IL1B,EGFR,0.873
CASP8,PARP1,0.873
CCRL2,IL17A,0.873
NSA2,RPL13A,0.873
UBL5,SNRPF,0.873
EIF3CL,RPS20,0.873
MTREX,BOP1,0.873
CYC1,NDUFA1,0.873
RPL21,EFTUD2,0.873
UCHL5,SEM1,0.873
BCAS2,SF3A1,0.873
SNRPF,UBL5,0.873
BRCA1,H3-4,0.872
HSPD1,NPM1,0.872
SRC,HIF1A,0.872
PTK2B,ITGB3,0.872
GPKOW,SRRT,0.872
IFNG,IL21R,0.872
SRRT,GPKOW,0.872
NDUFA13,COX7A1,0.872
UBE2N,IRAK4,0.872
RACK1,WDR61,0.872
COX7A1,NDUFA13,0.872
NFKBIA,TLR4,0.872
NOL6,RPL18A,0.872
RPS27A,UTP15,0.872
CCNB1,MYC,0.872
ITGB3,PTK2B,0.872
NCBP1,XPOT,0.872
COX7A1,NDUFB11,0.872
PCNA,PARP1,0.872
XPOT,NCBP1,0.872
RSL1D1,RPL34,0.872
IFNAR1,IL6,0.872
BCAS2,SLU7,0.872
RPL34,RSL1D1,0.872
XRN1,CNOT1,0.872
RPL9,POLR2B,0.872
CNOT1,XRN1,0.872
IL21R,IFNG,0.872
WDR61,RACK1,0.872
GRIN2B,APP,0.872
BLM,RAD17,0.872
TNFRSF1B,LTBR,0.872
CRCP,POLR2C,0.872
RPS9,EFTUD2,0.872
IRAK4,UBE2N,0.872
UTP15,RPS27A,0.872
COX6B1,MT-ND3,0.872
VAV1,SRC,0.872
RAD17,BLM,0.872
HIF1A,SRC,0.872
RPS12,BTF3,0.872
LTBR,TNFRSF1B,0.872
PRPF19,PRPF6,0.872
GAPDH,HSP90AB1,0.872
IL1B,GAPDH,0.872
H3-4,BRCA1,0.872
SRC,VAV1,0.872
POLR2C,CRCP,0.872
POLR2B,RPL9,0.872
IL6,AKT1,0.872
MYC,CCNB1,0.872
EFTUD2,RPS9,0.872
NDUFB11,COX7A1,0.872
HSP90AB1,GAPDH,0.872
TNF,SELE,0.872
MT-ND3,COX6B1,0.872
KAT5,CTNNB1,0.872
IL6,IFNAR1,0.872
PRPF6,PRPF19,0.872
SLU7,BCAS2,0.872
AKT1,IL6,0.872
NPM1,HSPD1,0.872
SELE,TNF,0.872
TLR4,NFKBIA,0.872
RPL18A,NOL6,0.872
CTNNB1,KAT5,0.872
PARP1,PCNA,0.872
BTF3,RPS12,0.872
MRPS10,EFTUD2,0.872
EFTUD2,MRPS10,0.872
GAPDH,IL1B,0.872
APP,GRIN2B,0.872
SNRPE,POLR2K,0.871
MRPS14,H3BNC9_HUMAN,0.871
EIF3CL,RACK1,0.871
RACK1,EIF3CL,0.871
WRN,FANCD2,0.871
MT-ND4L,COX6B1,0.871
RPA1,SEM1,0.871
MYL3,PRKAG2,0.871
BLM,RFC4,0.871
POLR2K,SNRPE,0.871
NSA2,RPL22,0.871
RBBP4,E2F1,0.871
PSMA3,CDKN1A,0.871
STAT3,IL27RA,0.871
SKIV2L,XRN2,0.871
FANCD2,WRN,0.871
RFC4,BLM,0.871
MTREX,TTC37,0.871
SNW1,SNRPA,0.871
CSF1,KDR,0.871
IL27RA,STAT3,0.871
TSR2,RPF2,0.871
ITGAV,TLN1,0.871
RPF2,TSR2,0.871
PRKAG2,MYL3,0.871
ISY1-RAB43,SF3A3,0.871
H3C13,H3-5,0.871
MAX,TRRAP,0.871
NANOG,EPAS1,0.871
CCND1,E2F2,0.871
COX7C,MT-ND3,0.871
EFTUD2,RBM8A,0.871
MRTO4,RPS4X,0.871
MDM2,KAT2B,0.871
RPL22,NSA2,0.871
XRN2,SKIV2L,0.871
IFNA2,STAT2,0.871
TLN1,ITGAV,0.871
MT-ND3,COX7C,0.871
RELA,BTRC,0.871
KDR,CSF1,0.871
RPL31,SNU13,0.871
E2F1,RBBP4,0.871
GRPEL1,COX5B,0.871
MT-ND3,COX5A,0.871
CDKN1A,PSMA3,0.871
RBM8A,BUD31,0.871
EPAS1,NANOG,0.871
H3-5,H3C13,0.871
TTC37,MTREX,0.871
SF3A3,ISY1-RAB43,0.871
KAT2B,MDM2,0.871
RBM8A,EFTUD2,0.871
H3-2,H3-5,0.871
SNRPA,SNW1,0.871
RPS4X,MRTO4,0.871
COX6B1,MT-ND4L,0.871
COX5B,GRPEL1,0.871
SEM1,RPA1,0.871
SNU13,RPL31,0.871
H3BNC9_HUMAN,MRPS14,0.871
TLR3,IL1B,0.871
COX5A,MT-ND3,0.871
TRRAP,MAX,0.871
H3-5,H3-2,0.871
IL1B,TLR3,0.871
BUD31,RBM8A,0.871
STAT2,IFNA2,0.871
PSMC5,PSMB10,0.871
PSMB10,PSMC5,0.871
BTRC,RELA,0.871
E2F2,CCND1,0.871
H3-3B,RING1,0.87
POLR1C,MRPS15,0.87
CTNNB1,SHH,0.87
TNFRSF18,CD27,0.87
NIP7,RPL32,0.87
MT-CO1,NDUFB3,0.87
FAU,NOP56,0.87
PTPRC,ITGB2,0.87
RPS15,BTF3,0.87
RSL24D1,UBA52,0.87
IL10,CSF1,0.87
RPL32,NIP7,0.87
DPY30,UBC,0.87
ITGB2,PTPRC,0.87
RPS16,NSA2,0.87
NIP7,RPL18,0.87
ITGB7,TLN1,0.87
GPKOW,CDC5L,0.87
CD27,TNFRSF18,0.87
NOP56,FAU,0.87
AMT,ALDH4A1,0.87
FAAP20,FANCD2,0.87
SELL,IFNG,0.87
CASC3,NCBP1,0.87
BTF3,RPS15,0.87
UBC,DPY30,0.87
SF3A2,PPIL1,0.87
RPL22,FANCE,0.87
GPKOW,EFTUD2,0.87
NCBP1,CASC3,0.87
UBA52,RSL24D1,0.87
IFNG,SELL,0.87
FANCE,RPL22,0.87
TLN1,ITGB7,0.87
NCBP2,LSM8,0.87
MRPS15,POLR1C,0.87
KRR1,WDR12,0.87
CSF1,IL10,0.87
RPL18A,EIF2S1,0.87
EIF2S1,RPL18A,0.87
EIF4A3,SRRT,0.87
NDUFB3,MT-CO1,0.87
WDR12,KRR1,0.87
SHH,CTNNB1,0.87
POLR3B,RPL9,0.87
FANCD2,FAAP20,0.87
PPIL1,SF3A2,0.87
RPL26,EIF2S1,0.87
LSM4,CWC15,0.87
NSA2,RPS16,0.87
POLR1C,RPL8,0.87
RPL9,POLR3B,0.87
CREBBP,KMT2D,0.87
EFTUD2,GPKOW,0.87
CDC5L,GPKOW,0.87
CWC15,SNRPA,0.87
SRRT,EIF4A3,0.87
RING1,H3-3B,0.87
LSM8,NCBP2,0.87
SNRPA,CWC15,0.87
RPL8,POLR1C,0.87
CWC15,LSM4,0.87
KMT2D,CREBBP,0.87
ALDH4A1,AMT,0.87
SYMPK,SNRPB,0.87
RPL18,NIP7,0.87
SNRPB,SYMPK,0.87
EIF2S1,RPL26,0.87
COX7A1,MT-ND1,0.869
RPL8,POLR2C,0.869
VASP,WASL,0.869
PLK4,BTRC,0.869
NIFK,NOP14,0.869
POLR2J,INTS9,0.869
SRRM1,SNRPG,0.869
NDUFB4,MT-CO1,0.869
RUVBL2,SNU13,0.869
UTP15,WDR12,0.869
RBBP5,H3-5,0.869
PPP2R1A,SUPT5H,0.869
MT-CO1,NDUFB4,0.869
MT-CO3,NDUFS5,0.869
CCNL2,CCNE1,0.869
RPL4,NOP14,0.869
MT-ND1,COX7A1,0.869
RING1,H3C13,0.869
COL1A2,ITGA5,0.869
RPL15,SNU13,0.869
NDUFB5,MT-CO1,0.869
SRRT,PRPF38A,0.869
RPL22,MRTO4,0.869
TAF5,ZZZ3,0.869
IL1B,FN1,0.869
MT-CO3,NDUFAB1,0.869
SUPT5H,PPP2R1A,0.869
CCNE1,CCNL2,0.869
NUP107,RAE1,0.869
RPS2,EIF3CL,0.869
KDM6A,KMT2A,0.869
RPS18,EIF3CL,0.869
KMT2A,KDM6A,0.869
RBM8A,ACIN1,0.869
XPO1,CDK1,0.869
NDUFA12,COX7A1,0.869
BMS1,RPL3,0.869
BTRC,PLK4,0.869
PRPF38A,SRRT,0.869
NDUFS5,MT-CO3,0.869
XPO1,NUP62,0.869
EP300,BCL2,0.869
CPSF6,NUP153,0.869
ERCC1,PARP1,0.869
RBBP5,H3-2,0.869
MT-CO1,NDUFB5,0.869
NDUFAB1,MT-CO3,0.869
XRN1,MTREX,0.869
ZZZ3,TAF5,0.869
NUP153,CPSF6,0.869
EIF3CL,RPS18,0.869
SNRPG,SRRM1,0.869
PARP1,ERCC1,0.869
WDR12,UTP15,0.869
CDK1,XPO1,0.869
NOP14,RPL4,0.869
INTS9,POLR2J,0.869
H3-2,RBBP5,0.869
MTREX,XRN1,0.869
NUP62,XPO1,0.869
HEATR1,RPL4,0.869
MRTO4,RPL22,0.869
BCL2,EP300,0.869
ITGA5,COL1A2,0.869
TLR9,TLR8,0.869
EIF3CL,RPS2,0.869
RAE1,NUP107,0.869
IL20RA,IL10,0.869
SNU13,RPL15,0.869
PSMA8,ADRM1,0.869
POLR2C,RPL8,0.869
WASL,VASP,0.869
IL10,IL20RA,0.869
RPL4,HEATR1,0.869
RPS27A,NACA,0.869
ADRM1,PSMA8,0.869
RPL3,BMS1,0.869
SNU13,RUVBL2,0.869
TLR8,TLR9,0.869
NOP14,NIFK,0.869
FN1,IL1B,0.869
NACA,RPS27A,0.869
COX7A1,NDUFA12,0.869
ACIN1,RBM8A,0.869
H3-5,RBBP5,0.869
H3C13,RING1,0.869
MT-CO3,NDUFB3,0.868
UPF2,NCBP2,0.868
SETD1A,POLR2A,0.868
SKP2,CCND2,0.868
IL10,TLR9,0.868
EGF,CTNNB1,0.868
UTP18,GTPBP4,0.868
IMP3,RPSA,0.868
RBM22,LSM2,0.868
PSMB10,PSMD2,0.868
RUVBL1,FBL,0.868
RPS15,POLR2F,0.868
NDUFS3,COX7A1,0.868
CCND2,SKP2,0.868
CTNNB1,EGF,0.868
GTPBP4,UTP18,0.868
POLR2A,H3-3B,0.868
NDUFS8,COX7A1,0.868
EIF2S1,RPL10A,0.868
EEF2,HSP90AB1,0.868
POLR2A,SETD1A,0.868
APP,CDK5,0.868
FBL,RUVBL1,0.868
POLR3B,POLR2G,0.868
TLR9,IL10,0.868
POLR2F,RPS15,0.868
COX7A1,NDUFS3,0.868
POLR1C,RPLP0,0.868
NDUFA10,MT-CO3,0.868
EIF2S1,RPL6,0.868
CDK5,APP,0.868
HSP90AB1,EEF2,0.868
NDUFB3,MT-CO3,0.868
RPS11,SNRPE,0.868
INTS7,NELFB,0.868
PSMD2,PSMB10,0.868
BCL2,IL6,0.868
SNRPA1,MAGOH,0.868
RPL10A,EIF2S1,0.868
MT-CO3,NDUFA10,0.868
STAT1,HSP90AA1,0.868
HDAC1,RNF2,0.868
RPSA,IMP3,0.868
PES1,SNU13,0.868
POLR2G,POLR3B,0.868
NIFK,NGDN,0.868
MAGOH,SNRPA1,0.868
SF3B2,RBM8A,0.868
HIF1A,PSMA7,0.868
MRTO4,NAT10,0.868
IFNA2,TLR7,0.868
RNF2,HDAC1,0.868
IL6,BCL2,0.868
NAT10,MRTO4,0.868
SRRT,JAG2,0.868
SNU13,PES1,0.868
RPL6,EIF2S1,0.868
TLR7,IFNA2,0.868
H3-3B,POLR2A,0.868
RBM8A,SF3B2,0.868
H3C12,RING1,0.868
JAG2,SRRT,0.868
COX7A1,NDUFS8,0.868
PSMA7,HIF1A,0.868
SNRPE,RPS11,0.868
NELFB,INTS7,0.868
HSP90AA1,STAT1,0.868
LSM2,RBM22,0.868
NCBP2,UPF2,0.868
RPLP0,POLR1C,0.868
NGDN,NIFK,0.868
RING1,H3C12,0.868
PSMD13,PSMB10,0.867
SNRNP70,SF3A1,0.867
RAD51C,MUS81,0.867
TRAF6,RELA,0.867
ITGAX,IL17A,0.867
IRAK2,TLR7,0.867
CACNG2,CACNA1D,0.867
RELA,TRAF6,0.867
TFDP1,CDK2,0.867
PSMD11,PSMA8,0.867
DDX18,RPL37,0.867
MDM2,FGFR2,0.867
RPS3A,RSL24D1,0.867
LSM6,SNRPC,0.867
GATA4,SOX2,0.867
TLR4,STAT1,0.867
